id,name,name,Finish,added_by,user_id,category_id,brand_id,photos,thumbnail_img,color_img,video_provider,video_link,tags,description,unit_price,purchase_price,variant_product,attributes,choice_options,colors,variations,todays_deal,published,approved,stock_visibility_state,cash_on_delivery,featured,seller_featured,current_stock,unit,weight,min_qty,low_stock_quantity,discount,discount_type,discount_start_date,discount_end_date,tax,tax_type,shipping_type,shipping_cost,is_quantity_multiplied,est_shipping_days,num_of_sale,meta_title,meta_description,meta_img,pdf,slug,rating,barcode,digital,auction_product,file_name,file_path,external_link,external_link_btn,wholesale_product,created_at,updated_at
14,KONICAL DREAM SERIES CEILING SPOUT WITH CONTROLLER,CEILING MOUNTED CONCEPTS,3,admin,9,19,NULL,27,26,75,NULL,NULL,,KONICAL DREAM SERIES CEILING SPOUT WITH CONTROLLER,10,NULL,0,[],[],[],[],0,1,1,quantity,0,0,0,100,Pc,0,1,NULL,0,amount,NULL,NULL,NULL,NULL,flat_rate,0,0,NULL,0,KONICAL DREAM SERIES CEILING SPOUT WITH CONTROLLER,KONICAL DREAM SERIES CEILING SPOUT WITH CONTROLLER,26,NULL,konical-dream-series-ceiling-spout-with-controller-kiltl,0,NULL,0,0,NULL,NULL,NULL,Buy Now,0,27-04-23 13:53,29-05-23 6:32
15,KONICAL CEILING SPOUT WITH CONTROLLER,CEILING MOUNTED CONCEPTS,3,admin,9,19,NULL,29,28,75,NULL,NULL,,KONICAL CEILING SPOUT WITH CONTROLLER,10,NULL,0,[],[],[],[],0,1,1,quantity,0,0,0,100,Pc,0,1,NULL,0,amount,NULL,NULL,NULL,NULL,flat_rate,0,0,NULL,0,KONICAL CEILING SPOUT WITH CONTROLLER,KONICAL CEILING SPOUT WITH CONTROLLER,28,NULL,konical-ceiling-spout-with-controller-hmooo,0,NULL,0,0,NULL,NULL,NULL,Buy Now,0,27-04-23 13:53,29-05-23 11:06
16,DEW DROP CEILING SPOUT WITH CONTROLLER,CEILING MOUNTED CONCEPTS,3,admin,9,19,NULL,31,30,NULL,NULL,NULL,NULL,DEW DROP CEILING SPOUT WITH CONTROLLER,100,NULL,0,[],[],[],[],0,1,1,quantity,0,0,0,0,pc,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,flat_rate,0,0,NULL,0,DEW DROP CEILING SPOUT WITH CONTROLLER,DEW DROP CEILING SPOUT WITH CONTROLLER,NULL,NULL,dew-drop-ceiling-spout-with-controller-vMUNA,0,NULL,0,0,NULL,NULL,NULL,Buy Now,0,27-04-23 13:53,27-04-23 13:53
17,DEW DROP CEILING SPOUT WITH IN-BUILT CONTROLLER,CEILING MOUNTED CONCEPTS,3,admin,9,19,NULL,33,32,NULL,NULL,NULL,NULL,DEW DROP CEILING SPOUT WITH IN-BUILT CONTROLLER,100,NULL,0,[],[],[],[],0,1,1,quantity,0,0,0,0,pc,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,flat_rate,0,0,NULL,0,DEW DROP CEILING SPOUT WITH IN-BUILT CONTROLLER,DEW DROP CEILING SPOUT WITH IN-BUILT CONTROLLER,NULL,NULL,dew-drop-ceiling-spout-with-in-built-controller-0jYxY,0,NULL,0,0,NULL,NULL,NULL,Buy Now,0,27-04-23 13:53,27-04-23 13:53
18,PIPER CEILING SPOUT WITH AERATOR CONTROL FOR COLD WATER ONLY,CEILING MOUNTED CONCEPTS,3,admin,9,19,NULL,35,34,NULL,NULL,NULL,NULL,PIPER CEILING SPOUT WITH AERATOR CONTROL FOR COLD WATER ONLY,100,NULL,0,[],[],[],[],0,1,1,quantity,0,0,0,0,pc,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,flat_rate,0,0,NULL,0,PIPER CEILING SPOUT WITH AERATOR CONTROL FOR COLD WATER ONLY,PIPER CEILING SPOUT WITH AERATOR CONTROL FOR COLD WATER ONLY,NULL,NULL,piper-ceiling-spout-with-aerator-control-for-cold-water-only-Chvqc,0,NULL,0,0,NULL,NULL,NULL,Buy Now,0,27-04-23 13:53,27-04-23 13:53
19,SQ CEILING SPOUT WITH CONTROLLER,CEILING MOUNTED CONCEPTS,3,admin,9,19,NULL,37,36,NULL,NULL,NULL,NULL,SQ CEILING SPOUT WITH CONTROLLER,100,NULL,0,[],[],[],[],0,1,1,quantity,0,0,0,0,pc,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,flat_rate,0,0,NULL,0,SQ CEILING SPOUT WITH CONTROLLER,SQ CEILING SPOUT WITH CONTROLLER,NULL,NULL,sq-ceiling-spout-with-controller-howPz,0,NULL,0,0,NULL,NULL,NULL,Buy Now,0,27-04-23 13:53,27-04-23 13:53
20,DEW DROP COUNTER MOUNTED TAP WITH CONTROLLER  SIZE-11 INCH,COUNTER CONCEPTS,3,admin,9,20,NULL,61,61,75,NULL,NULL,ceramix,<p>DEW DROP COUNTER MOUNTED TAP WITH CONTROLLER&nbsp; SIZE-11 INCH<br></p>,10,NULL,0,[],[],[],NULL,0,1,1,quantity,0,0,0,100,Pc,0,1,NULL,0,amount,NULL,NULL,NULL,NULL,flat_rate,0,0,NULL,0,DEW DROP COUNTER MOUNTED TAP WITH CONTROLLER  SIZE-11 INCH,DEW DROP COUNTER MOUNTED TAP WITH CONTROLLER  SIZE-11 INCH,61,NULL,dew-drop-counter-mounted-tap-with-controller-size-11-inch,0,NULL,0,0,NULL,NULL,NULL,Buy Now,0,28-04-23 6:20,29-05-23 6:30
21,KONICAL COUNTER MOUNTED TAP WITH CONTROLLER,COUNTER CONCEPTS,3,admin,9,20,NULL,59,59,75,NULL,NULL,,<p>KONICAL COUNTER MOUNTED TAP WITH CONTROLLER&nbsp;<br></p>,10,NULL,0,[],[],[],NULL,0,1,1,quantity,0,0,0,100,Pc,0,1,NULL,0,amount,NULL,NULL,NULL,NULL,flat_rate,0,0,NULL,0,KONICAL COUNTER MOUNTED TAP WITH CONTROLLER,KONICAL COUNTER MOUNTED TAP WITH CONTROLLER,59,NULL,konical-counter-mounted-tap-with-controller,0,NULL,0,0,NULL,NULL,NULL,Buy Now,0,28-04-23 6:24,29-05-23 6:28
22,SINGLE LEVER BASIN MIXER,COUNTER CONCEPTS,3,admin,9,20,NULL,60,60,75,NULL,NULL,SINGLE LEVER BASIN MIXER,<p>SINGLE LEVER BASIN MIXER<br></p>,10,NULL,0,[],[],[],NULL,0,1,1,quantity,0,0,0,100,Pc,0,1,NULL,0,amount,NULL,NULL,NULL,NULL,flat_rate,0,0,NULL,0,SINGLE LEVER BASIN MIXER,SINGLE LEVER BASIN MIXER,60,NULL,single-lever-basin-mixer-1,0,NULL,0,0,NULL,NULL,NULL,Buy Now,0,28-04-23 6:29,29-05-23 6:27
23,SINGLE LEVER BASIN MIXER LONG,COUNTER CONCEPTS,3,admin,9,20,NULL,62,62,75,NULL,NULL,SINGLE LEVER BASIN MIXER LONG,<p>SINGLE LEVER BASIN MIXER LONG<br></p>,10,NULL,0,[],[],[],NULL,0,1,1,quantity,0,0,0,100,Pc,0,1,NULL,0,amount,NULL,NULL,NULL,NULL,flat_rate,0,0,NULL,0,SINGLE LEVER BASIN MIXER LONG,SINGLE LEVER BASIN MIXER LONG,62,NULL,single-lever-basin-mixer-long,0,NULL,0,0,NULL,NULL,NULL,Buy Now,0,28-04-23 6:31,29-05-23 6:16
